file,sheet,rows,columns,preview
weekly_oil_bulletin_price_history.xlsx,Prices with taxes,1108,226,"Consumer prices of petroleum products inclusive of duties and taxes,CTR,EU_price_with_tax_euro95,EU_price_with_tax_diesel,EU_price_with_tax_heating_oil,EU_price_with_tax_fuel_oil_1,EU_price_with_tax_fuel_oil_2,EU_price_with_tax_LPG,CTR,EUR_price_with_tax_euro95,EUR_price_with_tax_diesel,EUR_price_with_tax_heating_oil,EUR_price_with_tax_fuel_oil_1,EUR_price_with_tax_fuel_oil_2,EUR_price_with_tax_LPG,CTR,AT_price_with_tax_euro95,AT_price_with_tax_diesel,AT_price_with_tax_heating_oil,AT_price_with_tax_fuel_oil_1,AT_price_with_tax_fuel_oil_2,AT_price_with_tax_LPG,CTR,BE_price_with_tax_euro95,BE_price_with_tax_diesel,BE_price_with_tax_heating_oil,BE_price_with_tax_fuel_oil_1,BE_price_with_tax_fuel_oil_2,BE_price_with_tax_LPG,CTR,BG_exchange_rate,BG_price_with_tax_euro95,BG_price_with_tax_diesel,BG_price_with_tax_heating_oil,BG_price_with_tax_fuel_oil_1,BG_price_with_tax_fuel_oil_2,BG_price_with_tax_LPG,CTR,CY_exchange_rate,CY_price_with_tax_euro95,CY_price_with_tax_diesel,CY_price_with_tax_heating_oil,CY_price_with_tax_fuel_oil_1,CY_price_with_tax_fuel_oil_2,CY_price_with_tax_LPG,CTR,CZ_exchange_rate,CZ_price_with_tax_euro95,CZ_price_with_tax_diesel,CZ_price_with_tax_heating_oil,CZ_price_with_tax_fuel_oil_1,CZ_price_with_tax_fuel_oil_2,CZ_price_with_tax_LPG,CTR,DE_price_with_tax_euro95,DE_price_with_tax_diesel,DE_price_with_tax_heating_oil,DE_price_with_tax_fuel_oil_1,DE_price_with_tax_fuel_oil_2,DE_price_with_tax_LPG,CTR,DK_exchange_rate,DK_price_with_tax_euro95,DK_price_with_tax_diesel,DK_price_with_tax_heating_oil,DK_price_with_tax_fuel_oil_1,DK_price_with_tax_fuel_oil_2,DK_price_with_tax_LPG,CTR,EE_exchange_rate,EE_price_with_tax_euro95,EE_price_with_tax_diesel,EE_price_with_tax_heating_oil,EE_price_with_tax_fuel_oil_1,EE_price_with_tax_fuel_oil_2,EE_price_with_tax_LPG,CTR,ES_price_with_tax_euro95,ES_price_with_tax_diesel,ES_price_with_tax_heating_oil,ES_price_with_tax_fuel_oil_1,ES_price_with_tax_fuel_oil_2,ES_price_with_tax_LPG,CTR,FI_price_with_tax_euro95,FI_price"
weekly_oil_bulletin_price_history.xlsx,Prices wo taxes,1108,226,"Consumer prices of petroleum products net of duties and taxes,CTR,EU_price_wo_tax_euro95,EU_price_wo_tax_diesel,EU_price_wo_tax_heating_oil,EU_price_wo_tax_fuel_oil_1,EU_price_wo_tax_fuel_oil_2,EU_price_wo_tax_LPG,CTR,EUR_price_wo_tax_euro95,EUR_price_wo_tax_diesel,EUR_price_wo_tax_heating_oil,EUR_price_wo_tax_fuel_oil_1,EUR_price_wo_tax_fuel_oil_2,EUR_price_wo_tax_LPG,CTR,AT_price_wo_tax_euro95,AT_price_wo_tax_diesel,AT_price_wo_tax_heating_oil,AT_price_wo_tax_fuel_oil_1,AT_price_wo_tax_fuel_oil_2,AT_price_wo_tax_LPG,CTR,BE_price_wo_tax_euro95,BE_price_wo_tax_diesel,BE_price_wo_tax_heating_oil,BE_price_wo_tax_fuel_oil_1,BE_price_wo_tax_fuel_oil_2,BE_price_wo_tax_LPG,CTR,BG_exchange_rate,BG_price_wo_tax_euro95,BG_price_wo_tax_diesel,BG_price_wo_tax_heating_oil,BG_price_wo_tax_fuel_oil_1,BG_price_wo_tax_fuel_oil_2,BG_price_wo_tax_LPG,CTR,CY_exchange_rate,CY_price_wo_tax_euro95,CY_price_wo_tax_diesel,CY_price_wo_tax_heating_oil,CY_price_wo_tax_fuel_oil_1,CY_price_wo_tax_fuel_oil_2,CY_price_wo_tax_LPG,CTR,CZ_exchange_rate,CZ_price_wo_tax_euro95,CZ_price_wo_tax_diesel,CZ_price_wo_tax_heating_oil,CZ_price_wo_tax_fuel_oil_1,CZ_price_wo_tax_fuel_oil_2,CZ_price_wo_tax_LPG,CTR,DE_price_wo_tax_euro95,DE_price_wo_tax_diesel,DE_price_wo_tax_heating_oil,DE_price_wo_tax_fuel_oil_1,DE_price_wo_tax_fuel_oil_2,DE_price_wo_tax_LPG,CTR,DK_exchange_rate,DK_price_wo_tax_euro95,DK_price_wo_tax_diesel,DK_price_wo_tax_heating_oil,DK_price_wo_tax_fuel_oil_1,DK_price_wo_tax_fuel_oil_2,DK_price_wo_tax_LPG,CTR,EE_exchange_rate,EE_price_wo_tax_euro95,EE_price_wo_tax_diesel,EE_price_wo_tax_heating_oil,EE_price_wo_tax_fuel_oil_1,EE_price_wo_tax_fuel_oil_2,EE_price_wo_tax_LPG,CTR,ES_price_wo_tax_euro95,ES_price_wo_tax_diesel,ES_price_wo_tax_heating_oil,ES_price_wo_tax_fuel_oil_1,ES_price_wo_tax_fuel_oil_2,ES_price_wo_tax_LPG,CTR,FI_price_wo_tax_euro95,FI_price_wo_tax_diesel,FI_price_wo_tax_heating_oil,FI_price_wo_tax_fuel_oil_1,FI_price_wo_tax_fuel_oil_2,FI_price_wo_tax_LPG,CTR,FR_price_wo_tax_eur"
weekly_oil_bulletin_price_history.xlsx,Consumption,52,211,"""Consumption in 1,000 t or kt"",CTR,EU_consumption_euro95,EU_consumption_diesel,EU_consumption_heEUing_oil,EU_consumption_fuel_oil_1,EU_consumption_fuel_oil_2,EU_consumption_LPG,CTR,EUR_consumption_euro95,EUR_consumption_diesel,EUR_consumption_heEURing_oil,EUR_consumption_fuel_oil_1,EUR_consumption_fuel_oil_2,EUR_consumption_LPG,CTR,AT_consumption_euro95,AT_consumption_diesel,AT_consumption_heating_oil,AT_consumption_fuel_oil_1,AT_consumption_fuel_oil_2,AT_consumption_LPG,CTR,BE_consumption_euro95,BE_consumption_diesel,BE_consumption_heBEing_oil,BE_consumption_fuel_oil_1,BE_consumption_fuel_oil_2,BE_consumption_LPG,CTR,BG_consumption_euro95,BG_consumption_diesel,BG_consumption_heBGing_oil,BG_consumption_fuel_oil_1,BG_consumption_fuel_oil_2,BG_consumption_LPG,CTR,CY_consumption_euro95,CY_consumption_diesel,CY_consumption_heCYing_oil,CY_consumption_fuel_oil_1,CY_consumption_fuel_oil_2,CY_consumption_LPG,CTR,CZ_consumption_euro95,CZ_consumption_diesel,CZ_consumption_heCZing_oil,CZ_consumption_fuel_oil_1,CZ_consumption_fuel_oil_2,CZ_consumption_LPG,CTR,DE_consumption_euro95,DE_consumption_diesel,DE_consumption_heDEing_oil,DE_consumption_fuel_oil_1,DE_consumption_fuel_oil_2,DE_consumption_LPG,CTR,DK_consumption_euro95,DK_consumption_diesel,DK_consumption_heDKing_oil,DK_consumption_fuel_oil_1,DK_consumption_fuel_oil_2,DK_consumption_LPG,CTR,EE_consumption_euro95,EE_consumption_diesel,EE_consumption_heEEing_oil,EE_consumption_fuel_oil_1,EE_consumption_fuel_oil_2,EE_consumption_LPG,CTR,ES_consumption_euro95,ES_consumption_diesel,ES_consumption_heESing_oil,ES_consumption_fuel_oil_1,ES_consumption_fuel_oil_2,ES_consumption_LPG,CTR,FI_consumption_euro95,FI_consumption_diesel,FI_consumption_heFIing_oil,FI_consumption_fuel_oil_1,FI_consumption_fuel_oil_2,FI_consumption_LPG,CTR,FR_consumption_euro95,FR_consumption_diesel,FR_consumption_heFRing_oil,FR_consumption_fuel_oil_1,FR_consumption_fuel_oil_2,FR_consumption_LPG,CTR,GR_consumption_euro95,GR_consumption_diesel,GR_consumption_h"
weekly_oil_bulletin_price_history.xlsx,VAT,117,8,",,""VAT (Value added tax), %"",,,,,
CTR,,,,,,,
,Since:,Euro-super 95  (I),Gas oil automobile Automotive gas oil Dieselkraftstoff (I), Gas oil de chauffage Heating gas oil Heizöl (II), Fuel oil - Schweres Heizöl (III) Soufre , Fuel oil -Schweres Heizöl (III) Soufre > 1% Sulphur > 1% Schwefel > 1%,GPL pour moteur LPG motor fuel
,,1000 l,1000 l,1000 l,t,t,1000 l
AT_,1995-01-01 00:00:00,20,20,20,20,,
BE_,1996-01-01 00:00:00,21,21,21,21,,21
BG_,1999-01-01 00:00:00,20,20,20,,20,20
CY_,2014-01-13 00:00:00,19,19,19,19,,
"
weekly_oil_bulletin_price_history.xlsx,Excise duties,1137,8,",,Excises - in national currency per unit (L or t),,,,,
CTR,,,,,,,
,Since:,Euro-super 95  (I),Gas oil automobile Automotive gas oil Dieselkraftstoff (I), Gas oil de chauffage Heating gas oil Heizöl (II), Fuel oil - Schweres Heizöl (III) Soufre , Fuel oil -Schweres Heizöl (III) Soufre > 1% Sulphur > 1% Schwefel > 1%,GPL pour moteur LPG motor fuel
,,1000 l,1000 l,1000 l,t,t,1000 l
AT_,2026-08-03 00:00:00,463,378,,,,
,2026-07-06 00:00:00,474,389,,,,
,2026-05-01 00:00:00,462,377,,,,
,2026-04-01 00:00:00,432,347,,,,
"
weekly_oil_bulletin_price_history.xlsx,Excise duties - components,12211,12,",,,,,,,,,,,
Excises Components - in national currency,,,,,,,,,,,
,,,,,,,,,,,
CTR,Date of Entry into Force,Euro-super 95_x000D_(I),Bio Component,,Fossil Component,,Gas oil automobile_x000D_Automotive gas oil_x000D_Dieselkraftstoff_x000D_(I),Bio Component,,Fossil Component,
,,1000L,Bio Excise,Bio Percent, Fossil Excise,Fossil Percent,1000L,Bio Excise,Bio Percent, Fossil Excise,Fossil Percent
AT_,2026-06-01 00:00:00,515,0,9.709,515,90.291,425,0,10.588,425,89.412
,2024-02-19 00:00:00,482,0,6.408,515,93.592,397,0,6.588,425,93.412
,2024-02-12 00:00:00,482,0,6.408,515,93.592,397,0,6.588,425,93.412
"
weekly_oil_bulletin_price_history.xlsx,Other Indirect Taxes,1463,8,",,Other Indirect Taxes - in national currency per unit (L or t),,,,,
CTR,,,,,,,
,Since:,Euro-super 95  (I),Gas oil automobile Automotive gas oil Dieselkraftstoff (I), Gas oil de chauffage Heating gas oil Heizöl (II), Fuel oil - Schweres Heizöl (III) Soufre , Fuel oil -Schweres Heizöl (III) Soufre > 1% Sulphur > 1% Schwefel > 1%,GPL pour moteur LPG motor fuel
,,1000 l,1000 l,1000 l,t,t,1000 l
AT_,2025-07-01 00:00:00,131.92,145.46,157.3,,,
,2025-03-17 00:00:00,131.18,144.64,,,,
,2025-01-01 00:00:00,133.45,147.13,156.4,,,
,2024-07-01 00:00:00,110.75,122.13,129.78,157.19,,
"
