year,country,product,flow,value_kt,source,status
2005,PT,diesel,exports,211,JODI,seed_provisional
2005,PT,gasoline,exports,792,JODI,seed_provisional
2006,PT,diesel,exports,314,JODI,seed_provisional
2006,PT,gasoline,exports,1273,JODI,seed_provisional
2007,PT,diesel,exports,193,JODI,seed_provisional
2007,PT,gasoline,exports,1091,JODI,seed_provisional
2008,PT,diesel,exports,164,JODI,seed_provisional
2008,PT,gasoline,exports,766,JODI,seed_provisional
2009,PT,diesel,exports,94,JODI,seed_provisional
2009,PT,gasoline,exports,836,JODI,seed_provisional
2010,PT,diesel,exports,35,JODI,seed_provisional
2010,PT,gasoline,exports,1035,JODI,seed_provisional
2011,PT,diesel,exports,120,JODI,seed_provisional
2011,PT,gasoline,exports,821,JODI,seed_provisional
2012,PT,diesel,exports,349,JODI,seed_provisional
2012,PT,gasoline,exports,901,JODI,seed_provisional
2013,PT,diesel,exports,1692,JODI,seed_provisional
2013,PT,gasoline,exports,1212,JODI,seed_provisional
2014,PT,diesel,exports,1295,JODI,seed_provisional
2014,PT,gasoline,exports,976,JODI,seed_provisional
2015,PT,diesel,exports,2286,JODI,seed_provisional
2015,PT,gasoline,exports,1758,JODI,seed_provisional
2016,PT,diesel,exports,2076,JODI,seed_provisional
2016,PT,gasoline,exports,1390,JODI,seed_provisional
2017,PT,diesel,exports,2082,JODI,seed_provisional
2017,PT,gasoline,exports,1871,JODI,seed_provisional
2018,PT,diesel,exports,1140,JODI,seed_provisional
2018,PT,gasoline,exports,1680,JODI,seed_provisional
2019,PT,diesel,exports,899,JODI,seed_provisional
2019,PT,gasoline,exports,1572,JODI,seed_provisional
2020,PT,diesel,exports,1304,JODI,seed_provisional
2020,PT,gasoline,exports,1278,JODI,seed_provisional
2021,PT,diesel,exports,1378,JODI,seed_provisional
2021,PT,gasoline,exports,1431,JODI,seed_provisional
2022,PT,diesel,exports,331,JODI,seed_provisional
2022,PT,gasoline,exports,1346,JODI,seed_provisional
2023,PT,diesel,exports,285,JODI,seed_provisional
2023,PT,gasoline,exports,1254,JODI,seed_provisional
2024,PT,diesel,exports,731,JODI,seed_provisional
2024,PT,gasoline,exports,1697,JODI,seed_provisional
