metric,product,value,unit
exports_kt_mean_2005_2024,diesel,848.95,kt
exports_kt_peak,diesel,2286.0,kt
exports_kt_peak_year,diesel,2015.0,year
imports_kt_mean_2005_2024,diesel,1020.1,kt
imports_kt_peak,diesel,1597.0,kt
imports_kt_peak_year,diesel,2023.0,year
demand_kt_mean_2005_2024,diesel,5064.0,kt
demand_kt_peak,diesel,5632.0,kt
demand_kt_peak_year,diesel,2005.0,year
refinery_output_kt_mean_2005_2024,diesel,4745.1,kt
refinery_output_kt_peak,diesel,6279.0,kt
refinery_output_kt_peak_year,diesel,2015.0,year
exports_kt_mean_2005_2024,gasoline,1249.0,kt
exports_kt_peak,gasoline,1871.0,kt
exports_kt_peak_year,gasoline,2017.0,year
imports_kt_mean_2005_2024,gasoline,177.55,kt
imports_kt_peak,gasoline,348.0,kt
imports_kt_peak_year,gasoline,2023.0,year
demand_kt_mean_2005_2024,gasoline,1229.95,kt
demand_kt_peak,gasoline,1804.0,kt
demand_kt_peak_year,gasoline,2005.0,year
refinery_output_kt_mean_2005_2024,gasoline,2271.5,kt
refinery_output_kt_peak,gasoline,2726.0,kt
refinery_output_kt_peak_year,gasoline,2006.0,year
