product,outcome,specification,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,r2_adj
diesel,imports_kt,no 2013 control,const,68.3899237323132,8.932413355467423,1.9125182624638495e-14,50.88271526057248,85.89713220405393,276,0.14196748976775186
diesel,imports_kt,no 2013 control,trend,0.026499316432020095,0.0391228717273525,0.49819300566606584,-0.050180103125371134,0.10317873598941132,276,0.14196748976775186
diesel,imports_kt,no 2013 control,matosinhos_transition,40.342245637539946,23.1507213009376,0.08140502997348792,-5.032334328422017,85.71682560350192,276,0.14196748976775186
diesel,imports_kt,no 2013 control,matosinhos_transition_trend,3.268548254782667,6.155720661423118,0.5954344737796156,-8.796442540495724,15.333539050061058,276,0.14196748976775186
diesel,imports_kt,no 2013 control,energy_stress_2022,25.429709958795314,10.493580653889577,0.01537773432276667,4.862669808305473,45.99675010928516,276,0.14196748976775186
diesel,imports_kt,no 2013 control,energy_stress_2022_trend,1.6286316925121738,2.346768485220313,0.4876890596954492,-2.9709500185732574,6.228213403597605,276,0.14196748976775186
diesel,imports_kt,no 2013 control,post_stress,56.73804693398323,15.392568217085978,0.0002277458827515173,26.5691675989188,86.90692626904766,276,0.14196748976775186
diesel,imports_kt,no 2013 control,post_stress_trend,-1.6155746728820075,0.8668713788191948,0.062366036189415844,-3.3146113545962073,0.08346200883219224,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_2,12.92839638317588,11.332615256901684,0.2539476917942637,-9.283121371000554,35.139914137352314,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_3,9.317576167507022,10.381913121075682,0.3694619787927582,-11.03059964042514,29.665751975439186,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_4,1.8824906620860133,10.79105726410035,0.8615124979959645,-19.267592930660005,23.03257425483203,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_5,-5.176170740619468,8.149768065486498,0.5253429483764376,-21.149422631327674,10.797081150088736,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_6,-4.8403235614658655,9.307588609160254,0.6030353080076127,-23.082862018335216,13.402214895403485,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_7,-9.504476382312285,8.604705079364107,0.2693471003434814,-26.369388435454802,7.360435670830233,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_8,2.65745775336309,9.457708120933896,0.7787232318228058,-15.879309539959337,21.194225046685517,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_9,5.645478845560146,10.74810227643295,0.5994069451949604,-15.420414518401405,26.711372209521695,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_10,22.15523906819196,11.416750130848202,0.05230794366925934,-0.221180008763465,44.53165814514739,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_11,11.925868856041262,13.121318830936712,0.3634068497410541,-13.7914434822619,37.64318119434442,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_12,0.1312812525861773,8.07975104270252,0.9870363981203121,-15.70473979516071,15.967302300333065,276,0.14196748976775186
diesel,imports_kt,2013 held constant,const,54.210061100589556,8.006919015446263,1.2842498610484174e-11,38.51678820318597,69.90333399799314,276,0.20914038350103303
diesel,imports_kt,2013 held constant,trend,0.3455706973988807,0.11697847452655043,0.0031354254214869142,0.11629710036040569,0.5748442944373557,276,0.20914038350103303
diesel,imports_kt,2013 held constant,control_2013,-47.65081607803053,11.498890857416878,3.4137584947502045e-05,-70.18822802072451,-25.11340413533655,276,0.20914038350103303
diesel,imports_kt,2013 held constant,control_2013_trend,-0.04216223319313625,0.14984273254891714,0.778421591668623,-0.3358485923340815,0.25152412594780904,276,0.20914038350103303
diesel,imports_kt,2013 held constant,matosinhos_transition,33.80278562664462,23.731774434662395,0.15433990490932162,-12.710637554522073,80.31620880781131,276,0.20914038350103303
diesel,imports_kt,2013 held constant,matosinhos_transition_trend,2.977134054536555,6.238412429117034,0.6332010338781066,-9.249929627239865,15.204197736312974,276,0.20914038350103303
diesel,imports_kt,2013 held constant,energy_stress_2022,15.084379023979116,11.463033539440614,0.18820253714633273,-7.382753866899188,37.55151191485742,276,0.20914038350103303
diesel,imports_kt,2013 held constant,energy_stress_2022_trend,1.589719511196672,2.3083890102772777,0.4910306179539252,-2.9346398112548524,6.114078833648197,276,0.20914038350103303
diesel,imports_kt,2013 held constant,post_stress,43.80802620494485,16.57710697135317,0.00822521875983961,11.31749357322478,76.29855883666492,276,0.20914038350103303
diesel,imports_kt,2013 held constant,post_stress_trend,-1.834805955338305,0.8748393502179989,0.035966482211517305,-3.549459574024006,-0.12015233665260405,276,0.20914038350103303
