year,country_jodi,product,flow,value_kt_jodi,source_jodi,status,country_eurostat,value_kt_eurostat,source_eurostat,difference_kt,difference_pct_comparison,reconciliation_status
2005,PT,diesel,exports,211.0,JODI,downloaded,PT,211.0,Eurostat,0.0,0.0,within_tolerance
2005,PT,diesel,imports,875.0,JODI,downloaded,PT,877.0,Eurostat,-2.0,-0.22805017103762829,within_tolerance
2005,PT,gasoline,exports,792.0,JODI,downloaded,PT,792.0,Eurostat,0.0,0.0,within_tolerance
2005,PT,gasoline,imports,130.0,JODI,downloaded,PT,128.0,Eurostat,2.0,1.5625,within_tolerance
2006,PT,diesel,exports,314.0,JODI,downloaded,PT,314.0,Eurostat,0.0,0.0,within_tolerance
2006,PT,diesel,imports,635.0,JODI,downloaded,PT,638.0,Eurostat,-3.0,-0.4702194357366771,within_tolerance
2006,PT,gasoline,exports,1273.0,JODI,downloaded,PT,1270.0,Eurostat,3.0,0.23622047244094488,within_tolerance
2006,PT,gasoline,imports,104.0,JODI,downloaded,PT,104.0,Eurostat,0.0,0.0,within_tolerance
2007,PT,diesel,exports,193.0,JODI,downloaded,PT,192.0,Eurostat,1.0,0.5208333333333334,within_tolerance
2007,PT,diesel,imports,775.0,JODI,downloaded,PT,776.0,Eurostat,-1.0,-0.12886597938144329,within_tolerance
2007,PT,gasoline,exports,1091.0,JODI,downloaded,PT,1091.0,Eurostat,0.0,0.0,within_tolerance
2007,PT,gasoline,imports,92.0,JODI,downloaded,PT,89.0,Eurostat,3.0,3.3707865168539324,within_tolerance
2008,PT,diesel,exports,164.0,JODI,downloaded,PT,164.0,Eurostat,0.0,0.0,within_tolerance
2008,PT,diesel,imports,1006.0,JODI,downloaded,PT,1011.0,Eurostat,-5.0,-0.49455984174085066,within_tolerance
2008,PT,gasoline,exports,766.0,JODI,downloaded,PT,767.0,Eurostat,-1.0,-0.1303780964797914,within_tolerance
2008,PT,gasoline,imports,116.0,JODI,downloaded,PT,115.0,Eurostat,1.0,0.8695652173913043,within_tolerance
2009,PT,diesel,exports,94.0,JODI,downloaded,PT,95.0,Eurostat,-1.0,-1.0526315789473684,within_tolerance
2009,PT,diesel,imports,1475.0,JODI,downloaded,PT,1478.0,Eurostat,-3.0,-0.2029769959404601,within_tolerance
2009,PT,gasoline,exports,836.0,JODI,downloaded,PT,835.0,Eurostat,1.0,0.11976047904191617,within_tolerance
2009,PT,gasoline,imports,235.0,JODI,downloaded,PT,240.0,Eurostat,-5.0,-2.0833333333333335,within_tolerance
2010,PT,diesel,exports,35.0,JODI,downloaded,PT,35.0,Eurostat,0.0,0.0,within_tolerance
2010,PT,diesel,imports,1167.0,JODI,downloaded,PT,1185.0,Eurostat,-18.0,-1.518987341772152,within_tolerance
2010,PT,gasoline,exports,1035.0,JODI,downloaded,PT,1035.0,Eurostat,0.0,0.0,within_tolerance
2010,PT,gasoline,imports,175.0,JODI,downloaded,PT,178.0,Eurostat,-3.0,-1.6853932584269662,within_tolerance
2011,PT,diesel,exports,120.0,JODI,downloaded,PT,120.0,Eurostat,0.0,0.0,within_tolerance
2011,PT,diesel,imports,1315.0,JODI,downloaded,PT,1349.0,Eurostat,-34.0,-2.520385470719051,within_tolerance
2011,PT,gasoline,exports,821.0,JODI,downloaded,PT,799.0,Eurostat,22.0,2.753441802252816,within_tolerance
2011,PT,gasoline,imports,178.0,JODI,downloaded,PT,191.0,Eurostat,-13.0,-6.806282722513089,within_tolerance
2012,PT,diesel,exports,349.0,JODI,downloaded,PT,350.0,Eurostat,-1.0,-0.2857142857142857,within_tolerance
2012,PT,diesel,imports,892.0,JODI,downloaded,PT,890.0,Eurostat,2.0,0.2247191011235955,within_tolerance
2012,PT,gasoline,exports,901.0,JODI,downloaded,PT,898.0,Eurostat,3.0,0.33407572383073497,within_tolerance
2012,PT,gasoline,imports,160.0,JODI,downloaded,PT,160.0,Eurostat,0.0,0.0,within_tolerance
2013,PT,diesel,exports,1692.0,JODI,downloaded,PT,1693.0,Eurostat,-1.0,-0.05906674542232723,within_tolerance
2013,PT,diesel,imports,581.0,JODI,downloaded,PT,578.0,Eurostat,3.0,0.5190311418685121,within_tolerance
2013,PT,gasoline,exports,1212.0,JODI,downloaded,PT,1293.0,Eurostat,-81.0,-6.2645011600928076,review
2013,PT,gasoline,imports,104.0,JODI,downloaded,PT,102.0,Eurostat,2.0,1.9607843137254901,within_tolerance
2014,PT,diesel,exports,1295.0,JODI,downloaded,PT,1295.0,Eurostat,0.0,0.0,within_tolerance
2014,PT,diesel,imports,697.0,JODI,downloaded,PT,699.0,Eurostat,-2.0,-0.2861230329041488,within_tolerance
2014,PT,gasoline,exports,976.0,JODI,downloaded,PT,976.0,Eurostat,0.0,0.0,within_tolerance
2014,PT,gasoline,imports,152.0,JODI,downloaded,PT,154.0,Eurostat,-2.0,-1.2987012987012987,within_tolerance
2015,PT,diesel,exports,2286.0,JODI,downloaded,PT,2284.0,Eurostat,2.0,0.08756567425569177,within_tolerance
2015,PT,diesel,imports,783.0,JODI,downloaded,PT,782.0,Eurostat,1.0,0.1278772378516624,within_tolerance
2015,PT,gasoline,exports,1758.0,JODI,downloaded,PT,1786.0,Eurostat,-28.0,-1.5677491601343785,within_tolerance
2015,PT,gasoline,imports,138.0,JODI,downloaded,PT,137.0,Eurostat,1.0,0.7299270072992701,within_tolerance
2016,PT,diesel,exports,2076.0,JODI,downloaded,PT,2076.0,Eurostat,0.0,0.0,within_tolerance
2016,PT,diesel,imports,942.0,JODI,downloaded,PT,962.0,Eurostat,-20.0,-2.079002079002079,within_tolerance
2016,PT,gasoline,exports,1390.0,JODI,downloaded,PT,1742.0,Eurostat,-352.0,-20.206659012629164,review
2016,PT,gasoline,imports,136.0,JODI,downloaded,PT,167.0,Eurostat,-31.0,-18.562874251497007,review
2017,PT,diesel,exports,2082.0,JODI,downloaded,PT,2079.034,Eurostat,2.9659999999998945,0.1426624095613585,within_tolerance
2017,PT,diesel,imports,897.0,JODI,downloaded,PT,892.763,Eurostat,4.236999999999966,0.47459404119569987,within_tolerance
2017,PT,gasoline,exports,1871.0,JODI,downloaded,PT,1884.529,Eurostat,-13.528999999999996,-0.7178982122323401,within_tolerance
2017,PT,gasoline,imports,123.0,JODI,downloaded,PT,123.558,Eurostat,-0.5580000000000069,-0.4516097703103052,within_tolerance
2018,PT,diesel,exports,1140.0,JODI,downloaded,PT,1134.429,Eurostat,5.570999999999913,0.4910840607918091,within_tolerance
2018,PT,diesel,imports,827.0,JODI,downloaded,PT,856.654,Eurostat,-29.653999999999996,-3.46160760353655,within_tolerance
2018,PT,gasoline,exports,1680.0,JODI,downloaded,PT,1643.801,Eurostat,36.19900000000007,2.202152206988563,within_tolerance
