country,product,value_column,nobs,status,adf_statistic,p_value,used_lag,adf_nobs,stationary_5pct
ES,diesel,price_without_tax_eur_per_1000l,1079,estimated,-2.0550330350922548,0.26297597908983206,18,1060,False
ES,gasoline,price_without_tax_eur_per_1000l,1079,estimated,-2.4581339753930425,0.1259958285763449,2,1076,False
PT,diesel,price_without_tax_eur_per_1000l,1080,estimated,-2.2053836238154707,0.20429731773611515,19,1060,False
PT,gasoline,price_without_tax_eur_per_1000l,1080,estimated,-2.0984550958550203,0.2451362688439903,13,1066,False
