product,diagnostic,status,nobs,adf_statistic,p_value,used_lag,adf_nobs,stationary_5pct
diesel,pt_es_spread_adf,estimated,994,-2.9168469812681783,0.0434237045756585,16,977,True
gasoline,pt_es_spread_adf,estimated,994,-3.9562245736949326,0.0016578999321141855,10,983,True
