product,term,estimate,std_error,p_value,nobs,covariance,outcome,comparison,model,model_family,levels_model_valid
diesel,const,-5.069102105490916,8.621810963574985,0.5565729894679741,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
diesel,ES,1.0254201907158271,0.014533606535310748,0.0,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
diesel,ES_x_post,-0.08210120243528532,0.022239071354472454,0.00022271196759766524,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
diesel,trend,-0.014829985182750915,0.005235276787294488,0.004615622328113974,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
diesel,post,51.92930009622728,15.716792021715973,0.0009529378554619179,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
diesel,post_trend,-0.036964620511335866,0.04128163431582673,0.37055977187192946,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
gasoline,const,6.200620812121166,8.569195785214493,0.46931487145050943,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
gasoline,ES,1.0144541185003808,0.015639893286703222,0.0,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
gasoline,ES_x_post,-0.029293785664516563,0.035362832380208764,0.40745656894795435,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
gasoline,trend,-0.0564589521412529,0.007220029624052773,5.2921039539216116e-15,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
gasoline,post,36.5885421080566,26.54349832324467,0.1680683841553885,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
gasoline,post_trend,-0.07392519658501562,0.04454819929104321,0.09702656158920789,994.0,HAC(8),PT pre-tax EUR/1000L,ES pre-tax EUR/1000L,PT-ES price co-movement with ES_x_post interaction,ecm_required,False
