product,segment,nobs,mean_spread,adf_statistic,p_value,used_lag,adf_nobs,stationary_5pct
diesel,pooled,994,-0.6955998397180371,-2.9168469812681783,0.0434237045756585,16,977,True
diesel,pre_transition,804,4.121082089552239,-3.8393350398680934,0.002529555488404224,14,789,True
diesel,post_transition,190,-21.077769687788045,-6.175401029306412,6.649486078892336e-08,0,189,True
gasoline,pooled,994,-11.989022192806567,-3.9562245736949326,0.0016578999321141855,10,983,True
gasoline,pre_transition,804,-8.255373134328359,-3.4167482647266887,0.01040100362751906,10,793,True
gasoline,post_transition,190,-27.788252945524896,-7.227513699995024,2.0347717997910695e-10,4,185,True
