product,pre_spread_mean,post_spread_mean,difference,unit,interpretation
diesel,4.121082089552239,-26.70807764735206,-30.8291597369043,EUR/1000L,descriptive PT-ES spread change
gasoline,-8.255373134328359,-27.1572570824049,-18.90188394807654,EUR/1000L,descriptive PT-ES spread change
