product,outcome,event_year,specification,covariance,interpretation,term,estimate,std_error,p_value,ci_low,ci_high,ci_level,nobs
diesel,exports_kt,2013,single event,HAC(1),associational interrupted trend,const,528.4782608695665,182.73900805730983,0.0038281761935658205,170.31638650666446,886.6401352324685,0.95,34
diesel,exports_kt,2013,single event,HAC(1),associational interrupted trend,trend,-21.49407114624518,11.151378152613187,0.05391969543647918,-43.35037070335383,0.36222841086346946,0.95,34
diesel,exports_kt,2013,single event,HAC(1),associational interrupted trend,post,2005.5451458545529,299.8979566821813,2.2713127278500575e-11,1417.7559517203242,2593.3343399887817,0.95,34
diesel,exports_kt,2013,single event,HAC(1),associational interrupted trend,post_trend,-117.0951611635011,34.970705601052295,0.0008128589362472492,-185.63648465551674,-48.55383767148547,0.95,34
diesel,exports_kt,2022,single event,HAC(1),associational interrupted trend,const,59.32969758064501,223.63995234157403,0.7907851904412504,-378.9965545130942,497.65594967438426,0.95,34
diesel,exports_kt,2022,single event,HAC(1),associational interrupted trend,trend,37.9393879032258,15.007836009967628,0.011472352947829022,8.524569837805942,67.35420596864566,0.95,34
diesel,exports_kt,2022,single event,HAC(1),associational interrupted trend,post,-781.6941104838701,342.5245690056714,0.02248019894443502,-1453.0299295550906,-110.35829141264958,0.95,34
diesel,exports_kt,2022,single event,HAC(1),associational interrupted trend,post_trend,15.04661209677488,93.7164846558659,0.8724442199673138,-168.63432258642288,198.72754677997264,0.95,34
diesel,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,const,528.4782608695656,182.7390080573098,0.0038281761935658716,170.3163865066636,886.6401352324676,0.95,34
diesel,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,trend,-21.494071146245094,11.151378152613187,0.05391969543648009,-43.35037070335375,0.36222841086355473,0.95,34
diesel,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,post,-569.9507380952384,323.26264470392573,0.0778803028097822,-1203.5338792621005,63.632403071623685,0.95,34
diesel,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,post_trend,150.05104761904735,108.42235282939556,0.1663739560954416,-62.45285904566239,362.55495428375707,0.95,34
diesel,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,post_2013,1901.1175421607381,300.53894920296693,2.520963345261482e-10,1312.0720257714102,2490.163058550066,0.95,34
diesel,exports_kt,2022,controlling for 2013,HAC(1),associational interrupted trend,post_trend_2013,-75.57097647280239,55.17341304359429,0.17078083684382417,-183.70887894239962,32.566925996794865,0.95,34
diesel,net_import_to_demand_ratio,2013,single event,HAC(1),associational interrupted trend,const,-0.10920683480706204,0.07829852394939077,0.1630913626339443,-0.2626691217905148,0.04425545217639075,0.95,34
diesel,net_import_to_demand_ratio,2013,single event,HAC(1),associational interrupted trend,trend,0.015300700622312985,0.0048219850303996125,0.0015081411140805828,0.0058497836287384666,0.024751617615887504,0.95,34
diesel,net_import_to_demand_ratio,2013,single event,HAC(1),associational interrupted trend,post,-0.5397897893375053,0.06714141339151562,9.013568656550359e-16,-0.6713845414559912,-0.4081950372190194,0.95,34
diesel,net_import_to_demand_ratio,2013,single event,HAC(1),associational interrupted trend,post_trend,0.02862015635532293,0.008455423005331347,0.0007122275163983068,0.012047831790822066,0.045192480919823794,0.95,34
