flow,n_cells,median_abs_pct,max_abs_pct,share_within_tolerance,worst_year,worst_product
exports,46,0.16392379737327187,46.80192798813248,0.9130434782608695,2022,diesel
imports,46,1.0841332580463015,40.0,0.8043478260869565,2002,gasoline
refinery_output,46,2.34837467105885,9.088588205259127,0.8260869565217391,2010,diesel
demand,46,1.1062255956728673,3.066332916145181,1.0,2015,diesel
