product,country,regression,lag_rule,adf_statistic,p_value,stationary_5pct,stationary_1pct
diesel,PT,c,AIC,-2.4692389982834384,0.12313930649922444,False,False
diesel,PT,c,BIC,-2.4692389982834384,0.12313930649922444,False,False
diesel,PT,c,fixed_8,-2.7664794120561593,0.06322376956249577,False,False
diesel,PT,ct,AIC,-2.5970174678358964,0.2812674255386433,False,False
diesel,PT,ct,BIC,-2.5970174678358964,0.2812674255386433,False,False
diesel,PT,ct,fixed_8,-2.9148507084935686,0.15746198077830448,False,False
diesel,ES,c,AIC,-2.485845665430061,0.11895632007440399,False,False
diesel,ES,c,BIC,-2.485845665430061,0.11895632007440399,False,False
diesel,ES,c,fixed_8,-2.494926939891505,0.11671353950045016,False,False
diesel,ES,ct,AIC,-2.6677834048988522,0.2497011198767281,False,False
diesel,ES,ct,BIC,-2.6677834048988522,0.2497011198767281,False,False
diesel,ES,ct,fixed_8,-2.781902995585036,0.20367067583294796,False,False
gasoline,PT,c,AIC,-3.2150429818891153,0.01913027856090363,True,False
gasoline,PT,c,BIC,-3.259586563942164,0.01678447680928043,True,False
gasoline,PT,c,fixed_8,-3.217688228837497,0.018983375409517597,True,False
gasoline,PT,ct,AIC,-3.5485377426212024,0.03447704404619444,True,False
gasoline,PT,ct,BIC,-3.511004662764762,0.038227974723999025,True,False
gasoline,PT,ct,fixed_8,-3.5867211388684153,0.030986897063766436,True,False
gasoline,ES,c,AIC,-3.087219323377291,0.02751358770395659,True,False
gasoline,ES,c,BIC,-2.9267603569385003,0.0423234578806239,True,False
gasoline,ES,c,fixed_8,-3.034079002449372,0.031832100801208484,True,False
gasoline,ES,ct,AIC,-3.5708891607669053,0.03239554199248232,True,False
gasoline,ES,ct,BIC,-3.2523419460727085,0.07446732282341788,False,False
gasoline,ES,ct,fixed_8,-3.6033390904685683,0.029565031995400327,True,False
