year,product,imports_kt,exports_kt,demand_kt,refinery_output_kt,refining_regime,net_imports_kt,gross_import_dependence,net_import_to_demand_ratio,export_to_demand,refinery_output_to_demand_ratio,imports_kt_yoy_change,exports_kt_yoy_change,exports_kt_yoy_pct,demand_kt_yoy_change,demand_kt_yoy_pct,refinery_output_kt_yoy_change,refinery_output_kt_yoy_pct,net_imports_kt_yoy_change
1990,diesel,64.0,344.0,2442.0,2984.0,two_refineries,-280.0,0.02620802620802621,-0.11466011466011466,0.14086814086814087,1.2219492219492218,,,,,,,,
1991,diesel,661.0,135.0,2564.0,2345.0,two_refineries,526.0,0.2578003120124805,0.20514820592823713,0.052652106084243366,0.9145865834633385,597.0,-209.0,-60.75581395348837,122.0,4.995904995904987,-639.0,-21.4142091152815,806.0
1992,diesel,259.0,315.0,2707.0,2987.0,two_refineries,-56.0,0.09567787218322867,-0.020687107499076467,0.11636497968230514,1.1034355374953824,-402.0,180.0,133.33333333333334,143.0,5.577223088923566,642.0,27.3773987206823,-582.0
1993,diesel,387.0,646.0,2777.0,3281.0,two_refineries,-259.0,0.1393590205257472,-0.09326611451206337,0.2326251350378106,1.18149081742888,128.0,331.0,105.07936507936506,70.0,2.5858884373845648,294.0,9.84265148978909,-203.0
1994,diesel,123.0,1295.0,2931.0,4186.0,two_refineries,-1172.0,0.04196519959058342,-0.3998635278062095,0.4418287273967929,1.4281815080177414,-264.0,649.0,100.46439628482973,154.0,5.545552754771332,905.0,27.583053946967382,-913.0
1995,diesel,319.0,1026.0,3070.0,3963.0,two_refineries,-707.0,0.10390879478827361,-0.23029315960912053,0.33420195439739414,1.2908794788273616,196.0,-269.0,-20.772200772200776,139.0,4.742408734220405,-223.0,-5.327281414237939,465.0
1996,diesel,293.0,428.0,3309.0,3684.0,two_refineries,-135.0,0.08854638863705047,-0.04079782411604715,0.12934421275309763,1.113327289211242,-26.0,-598.0,-58.28460038986355,239.0,7.785016286644941,-279.0,-7.040121120363363,572.0
1997,diesel,152.0,309.0,3580.0,3970.0,two_refineries,-157.0,0.042458100558659215,-0.04385474860335196,0.08631284916201118,1.1089385474860336,-141.0,-119.0,-27.80373831775701,271.0,8.189785433665753,286.0,7.7633007600434345,-22.0
1998,diesel,143.0,290.0,4035.0,4368.0,two_refineries,-147.0,0.03543990086741016,-0.036431226765799254,0.07187112763320942,1.0825278810408923,-9.0,-19.0,-6.148867313915862,455.0,12.709497206703912,398.0,10.025188916876582,10.0
1999,diesel,268.0,78.0,4228.0,4279.0,two_refineries,190.0,0.06338694418164617,0.044938505203405865,0.018448438978240302,1.012062440870388,125.0,-212.0,-73.10344827586206,193.0,4.783147459727388,-89.0,-2.0375457875457914,337.0
