product,outcome,specification,term,estimate,std_error,p_value,n_obs,r2_adj
diesel,imports_kt,no 2013 control,const,68.3899237323132,8.932413355467423,1.9125182624638495e-14,276,0.14196748976775186
diesel,imports_kt,no 2013 control,trend,0.026499316432020095,0.0391228717273525,0.49819300566606584,276,0.14196748976775186
diesel,imports_kt,no 2013 control,matosinhos_transition,40.342245637539946,23.1507213009376,0.08140502997348792,276,0.14196748976775186
diesel,imports_kt,no 2013 control,matosinhos_transition_trend,3.268548254782667,6.155720661423118,0.5954344737796156,276,0.14196748976775186
diesel,imports_kt,no 2013 control,energy_stress_2022,25.429709958795314,10.493580653889577,0.01537773432276667,276,0.14196748976775186
diesel,imports_kt,no 2013 control,energy_stress_2022_trend,1.6286316925121738,2.346768485220313,0.4876890596954492,276,0.14196748976775186
diesel,imports_kt,no 2013 control,post_stress,56.73804693398323,15.392568217085978,0.0002277458827515173,276,0.14196748976775186
diesel,imports_kt,no 2013 control,post_stress_trend,-1.6155746728820075,0.8668713788191948,0.062366036189415844,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_2,12.92839638317588,11.332615256901684,0.2539476917942637,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_3,9.317576167507022,10.381913121075682,0.3694619787927582,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_4,1.8824906620860133,10.79105726410035,0.8615124979959645,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_5,-5.176170740619468,8.149768065486498,0.5253429483764376,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_6,-4.8403235614658655,9.307588609160254,0.6030353080076127,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_7,-9.504476382312285,8.604705079364107,0.2693471003434814,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_8,2.65745775336309,9.457708120933896,0.7787232318228058,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_9,5.645478845560146,10.74810227643295,0.5994069451949604,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_10,22.15523906819196,11.416750130848202,0.05230794366925934,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_11,11.925868856041262,13.121318830936712,0.3634068497410541,276,0.14196748976775186
diesel,imports_kt,no 2013 control,month_12,0.1312812525861773,8.07975104270252,0.9870363981203121,276,0.14196748976775186
diesel,imports_kt,2013 held constant,const,54.210061100589556,8.006919015446263,1.2842498610484174e-11,276,0.20914038350103303
diesel,imports_kt,2013 held constant,trend,0.3455706973988807,0.11697847452655043,0.0031354254214869142,276,0.20914038350103303
