product,year,flow,monthly_source_kt,annual_source_kt,difference_kt,difference_pct,within_tolerance
diesel,2002,imports,580.0,620.0,-40.0,-6.451612903225806,False
diesel,2002,exports,6.0,6.0,0.0,0.0,True
diesel,2002,demand,5362.0,5284.0,78.0,1.4761544284632853,True
diesel,2002,refinery_output,4787.0,4827.0,-40.0,-0.8286720530350113,True
diesel,2003,imports,931.0,949.0,-18.0,-1.8967334035827188,True
diesel,2003,exports,50.0,51.0,-1.0,-1.9607843137254901,True
diesel,2003,demand,5450.0,5335.0,115.0,2.1555763823805063,True
diesel,2003,refinery_output,4971.0,4955.0,16.0,0.3229061553985873,True
diesel,2004,imports,846.0,841.0,5.0,0.5945303210463734,True
diesel,2004,exports,70.0,71.0,-1.0,-1.4084507042253522,True
diesel,2004,demand,5690.0,5538.0,152.0,2.744673167208379,True
diesel,2004,refinery_output,4747.0,4703.0,44.0,0.9355730384860728,True
diesel,2005,imports,875.0,877.0,-2.0,-0.22805017103762829,True
diesel,2005,exports,211.0,211.0,0.0,0.0,True
diesel,2005,demand,5632.0,5492.0,140.0,2.5491624180626364,True
diesel,2005,refinery_output,5043.0,4906.0,137.0,2.792498980839788,True
diesel,2006,imports,635.0,638.0,-3.0,-0.4702194357366771,True
diesel,2006,exports,314.0,314.0,0.0,0.0,True
diesel,2006,demand,5471.0,5324.0,147.0,2.7610818933132983,True
diesel,2006,refinery_output,5055.0,5102.0,-47.0,-0.9212073696589572,True
diesel,2007,imports,775.0,776.0,-1.0,-0.12886597938144329,True
diesel,2007,exports,193.0,192.0,1.0,0.5208333333333333,True
diesel,2007,demand,5530.0,5482.0,48.0,0.8755928493250638,True
diesel,2007,refinery_output,4745.0,4634.0,111.0,2.3953388001726372,True
diesel,2008,imports,1006.0,1011.0,-5.0,-0.4945598417408506,True
diesel,2008,exports,164.0,164.0,0.0,0.0,True
diesel,2008,demand,5450.0,5372.0,78.0,1.4519731943410277,True
diesel,2008,refinery_output,4671.0,4478.0,193.0,4.309959803483698,True
diesel,2009,imports,1475.0,1478.0,-3.0,-0.20297699594046006,True
diesel,2009,exports,94.0,95.0,-1.0,-1.0526315789473684,True
diesel,2009,demand,5537.0,5457.0,80.0,1.4660069635330768,True
diesel,2009,refinery_output,4074.0,3810.0,264.0,6.929133858267717,False
diesel,2010,imports,1167.0,1185.0,-18.0,-1.5189873417721518,True
diesel,2010,exports,35.0,35.0,0.0,0.0,True
diesel,2010,demand,5601.0,5506.0,95.0,1.7253904831093354,True
diesel,2010,refinery_output,4273.0,3917.0,356.0,9.088588205259127,False
diesel,2011,imports,1315.0,1349.0,-34.0,-2.5203854707190514,True
diesel,2011,exports,120.0,120.0,0.0,0.0,True
diesel,2011,demand,5191.0,5103.0,88.0,1.7244757985498727,True
diesel,2011,refinery_output,3782.0,3576.0,206.0,5.760626398210291,False
diesel,2012,imports,892.0,890.0,2.0,0.22471910112359553,True
diesel,2012,exports,349.0,350.0,-1.0,-0.2857142857142857,True
diesel,2012,demand,4678.0,4641.0,37.0,0.7972419737125619,True
diesel,2012,refinery_output,4059.0,3872.0,187.0,4.829545454545454,True
diesel,2013,imports,581.0,578.0,3.0,0.5190311418685121,True
diesel,2013,exports,1692.0,1693.0,-1.0,-0.05906674542232723,True
diesel,2013,demand,4535.0,4551.0,-16.0,-0.35157108327840036,True
diesel,2013,refinery_output,5687.0,5399.0,288.0,5.334321170587146,False
diesel,2014,imports,697.0,699.0,-2.0,-0.28612303290414876,True
diesel,2014,exports,1295.0,1295.0,0.0,0.0,True
diesel,2014,demand,4697.0,4640.0,57.0,1.228448275862069,True
diesel,2014,refinery_output,5117.0,4865.0,252.0,5.179856115107913,False
diesel,2015,imports,783.0,782.0,1.0,0.1278772378516624,True
diesel,2015,exports,2286.0,2284.0,2.0,0.08756567425569177,True
diesel,2015,demand,4941.0,4794.0,147.0,3.066332916145181,True
diesel,2015,refinery_output,6279.0,6104.0,175.0,2.86697247706422,True
diesel,2016,imports,942.0,962.0,-20.0,-2.079002079002079,True
diesel,2016,exports,2076.0,2076.0,0.0,0.0,True
diesel,2016,demand,4834.0,4830.0,4.0,0.08281573498964803,True
diesel,2016,refinery_output,5901.0,5695.0,206.0,3.617208077260755,True
diesel,2017,imports,897.0,892.763,4.236999999999966,0.47459404119569987,True
diesel,2017,exports,2082.0,2079.034,2.9659999999998945,0.14266240956135853,True
diesel,2017,demand,4974.0,4923.933,50.06700000000001,1.016809123925935,True
diesel,2017,refinery_output,5984.0,5934.611,49.389000000000124,0.8322196686522525,True
diesel,2018,imports,827.0,856.654,-29.653999999999996,-3.46160760353655,True
diesel,2018,exports,1140.0,1134.429,5.570999999999913,0.49108406079180916,True
diesel,2018,demand,5089.0,4980.945,108.05500000000029,2.1693674593877326,True
diesel,2018,refinery_output,5228.0,5223.634,4.3659999999999854,0.08358165981766688,True
diesel,2019,imports,1075.0,1257.736,-182.7360000000001,-14.528963152839713,False
diesel,2019,exports,899.0,899.898,-0.8980000000000246,-0.09978908720766405,True
diesel,2019,demand,5075.0,5096.877,-21.877000000000407,-0.4292236206602672,True
diesel,2019,refinery_output,4777.0,4613.943,163.0569999999998,3.534005513288738,True
diesel,2020,imports,875.0,929.434,-54.43399999999997,-5.856682669237403,False
diesel,2020,exports,1304.0,1302.675,1.3250000000000455,0.10171378125779995,True
diesel,2020,demand,4403.0,4441.438,-38.4380000000001,-0.8654404271769661,True
diesel,2020,refinery_output,4606.0,4783.257,-177.2569999999996,-3.7057803918961416,True
diesel,2021,imports,1491.0,1499.906,-8.905999999999949,-0.5937705429540218,True
diesel,2021,exports,1378.0,1377.206,0.7940000000000964,0.057652958235739356,True
diesel,2021,demand,4728.0,4780.213,-52.21299999999974,-1.0922735032936761,True
diesel,2021,refinery_output,4199.0,4360.995,-161.9949999999999,-3.7146339310180334,True
diesel,2022,imports,1275.0,1316.11,-41.1099999999999,-3.1235990912613616,True
diesel,2022,exports,331.0,622.203,-291.203,-46.80192798813248,False
diesel,2022,demand,4962.0,4942.212,19.787999999999556,0.4003875187871252,True
diesel,2022,refinery_output,3941.0,4285.346,-344.34599999999955,-8.035430511328597,False
diesel,2023,imports,1597.0,1631.591,-34.590999999999894,-2.1200778871665693,True
