product,scale,used_for_model_choice,pt_adf_p_value,es_adf_p_value,cointegration_p_value,cointegrated_5pct
diesel,EUR_per_1000L,False,0.07025249284666131,0.16169894313027183,0.05653104257352489,False
diesel,log,True,0.12313930649922444,0.11895632007440399,4.348245362986022e-06,True
gasoline,EUR_per_1000L,False,0.10004765019821821,0.07199840250112124,0.0015858453164265796,True
gasoline,log,True,0.01913027856090363,0.02751358770395659,0.0025951503549340167,True
