product,pre_spread_mean,post_spread_mean,difference,unit,interpretation
diesel,4.121082089552239,-26.66072371591118,-30.781805805463417,EUR/1000L,descriptive PT-ES spread change
gasoline,-8.255373134328359,-27.055013180136285,-18.799640045807926,EUR/1000L,descriptive PT-ES spread change
