product,outcome,event_year,trade_source,level_change,std_error,p_value,nobs
diesel,exports_kt,2022,primary,-781.6941104838701,342.5245690056714,0.02248019894443502,34
diesel,exports_kt,2022,corroborated,-781.6941104838701,342.5245690056714,0.02248019894443502,34
diesel,net_import_to_demand_ratio,2022,primary,0.2007197591307956,0.09294254275168647,0.030802778286469816,34
diesel,net_import_to_demand_ratio,2022,corroborated,0.20068144544509775,0.09295256187577874,0.030852784135109182,34
gasoline,exports_kt,2022,primary,-270.8924700268813,174.49976567121777,0.12056786750657202,34
gasoline,exports_kt,2022,corroborated,-202.84797002688137,140.47350879999678,0.14873051849044705,34
gasoline,net_import_to_demand_ratio,2022,primary,0.3071520346979685,0.18369711275743764,0.09451309192795396,34
gasoline,net_import_to_demand_ratio,2022,corroborated,0.2531322492168057,0.1587456721648153,0.11080678662351783,34
