product,term,estimate,std_error,p_value,nobs,covariance,outcome,comparison,model,model_family
diesel,const,8.215624937155175e-05,0.0004188966667662683,0.8445120663576007,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
diesel,diff_log_ES,0.7348314026087437,0.034072328117752355,3.68233732374677e-103,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
diesel,diff_log_ES_x_post,0.2723825809731798,0.05427524162652351,5.206510499380677e-07,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
diesel,post,-0.00021371504554468012,0.0008558348148568452,0.8028075270976263,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
diesel,diff_log_ES_post_period,1.0072139835819236,0.042248114179860005,1.2721664776748197e-125,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,"short-run log-difference transmission, post-period level (Wald)",ecm_required
gasoline,const,0.00015472404202126658,0.0005908704721194747,0.7934310751989451,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
gasoline,diff_log_ES,0.7997270363478611,0.059276583646121886,1.7561356619007253e-41,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
gasoline,diff_log_ES_x_post,0.03532822751763325,0.13728068651342717,0.7969139792832114,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
gasoline,post,-4.108149114592385e-05,0.0010542683754803561,0.9689168384390181,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
gasoline,diff_log_ES_post_period,0.8350552638654943,0.12382350032549305,1.5417387649088828e-11,1078.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,"short-run log-difference transmission, post-period level (Wald)",ecm_required
