product,sample,nobs,dropped,pre_adjustment_speed,post_adjustment_speed,adjustment_interaction,interaction_p_value,speed_ratio,short_run_elasticity
diesel,all observations,993.0,0.0,-0.14152122927799457,-0.5995147419959452,-0.45799351271795063,5.883217832547759e-08,4.236217739589441,0.7128851632543547
diesel,seven-day gaps only,955.0,38.0,-0.1379868164314468,-0.5994014007146051,-0.4614145842831583,7.451596042476638e-08,4.343903397556777,0.6745485432968106
gasoline,all observations,993.0,0.0,-0.09112989327402365,-0.3678226784379724,-0.27669278516394874,0.0012756711163128633,4.03624612323363,0.7891281882416709
gasoline,seven-day gaps only,955.0,38.0,-0.08060070648522465,-0.36056527375932096,-0.2799645672740963,0.0011323058499333205,4.473475351303752,0.7492600601753704
