product,subset,n_obs,n_post,pre_adjustment_speed,post_adjustment_speed,half_life_weeks,speed_ratio
diesel,full_post_period,993,190,-0.14152122927799457,-0.5995147419959452,0.7574730641052194,4.236217739589441
diesel,excluding_2022,942,139,-0.14499774894728262,-0.4297252954676345,1.2341549105531504,2.963668736842745
diesel,first_half_of_post,898,95,-0.14746100631511155,-0.6429516013237375,0.6730342676669385,4.36014657291708
diesel,second_half_of_post,898,95,-0.14813189532458032,-0.4791600640110812,1.0625998596897839,3.234685298268587
gasoline,full_post_period,993,190,-0.09112989327402365,-0.3678226784379724,1.5114900146530592,4.03624612323363
gasoline,excluding_2022,942,139,-0.09093567716634035,-0.3323063818010151,1.7160257334765239,3.6543015036129036
gasoline,first_half_of_post,898,95,-0.09197779803989868,-0.4050598043468016,1.3347865756187791,4.403886731133663
gasoline,second_half_of_post,898,95,-0.09093241798822146,-0.3610516206430008,1.5474397497334573,3.9705489926570308
