year,product,flow,source,value_kt,baseline_mean,baseline_std,z_score,empirical_percentile,baseline_start,baseline_end
2019,diesel,imports,JODI,1075.0,828.8571428571429,162.766119090582,1.5122487316041158,100.0,2013,2019
2019,diesel,imports,DGEG,1257.735689355,828.8571428571429,162.766119090582,2.634937472823685,100.0,2013,2019
2019,gasoline,imports,JODI,232.0,147.57142857142858,40.57033868422078,2.0810418193873406,100.0,2013,2019
2019,gasoline,imports,DGEG,261.21378153,147.57142857142858,40.57033868422078,2.8011191585829898,100.0,2013,2019
2020,diesel,imports,JODI,875.0,828.8571428571429,162.766119090582,0.28349178195480507,57.14285714285714,2013,2019
2020,diesel,imports,DGEG,930.694007085,828.8571428571429,162.766119090582,0.6256637732523633,71.42857142857143,2013,2019
2021,gasoline,exports,JODI,1431.0,1494.142857142857,319.1574473366965,-0.19784234292438202,42.857142857142854,2013,2019
2021,gasoline,exports,DGEG,1055.905,1494.142857142857,319.1574473366965,-1.3731086672106894,14.285714285714285,2013,2019
2021,gasoline,imports,JODI,255.0,147.57142857142858,40.57033868422078,2.6479584571561423,100.0,2013,2019
2021,gasoline,imports,DGEG,202.473,147.57142857142858,40.57033868422078,1.3532440992395405,85.71428571428571,2013,2019
2022,diesel,exports,JODI,331.0,1638.5714285714287,535.9682382202815,-2.4396434999829606,0.0,2013,2019
2022,diesel,exports,DGEG,622.203,1638.5714285714287,535.9682382202815,-1.8963221252556837,0.0,2013,2019
2022,gasoline,exports,JODI,1346.0,1494.142857142857,319.1574473366965,-0.4641685737841272,28.57142857142857,2013,2019
2022,gasoline,exports,DGEG,1501.699,1494.142857142857,319.1574473366965,0.023675282905654942,42.857142857142854,2013,2019
2024,gasoline,exports,JODI,1697.0,1494.142857142857,319.1574473366965,0.6356020971778793,71.42857142857143,2013,2019
2024,gasoline,exports,DGEG,1319.812,1494.142857142857,319.1574473366965,-0.5462221188871276,28.57142857142857,2013,2019
